ids,MoM LogNorm RB,LogNorm RB,2-NN RB,8-NN RB,LSTM Time RB,LSTM Dist. RB,LSTM-4NN RB,LSTM-LN-4NN RB,MoM LogNorm MB,LogNorm MB,2-NN MB,8-NN MB,LSTM Time MB,LSTM Dist. MB,LSTM-4NN MB,LSTM-LN-4NN MB,MoM LogNorm RMSE,LogNorm RMSE,2-NN RMSE,8-NN RMSE,LSTM Time RMSE,LSTM Dist. RMSE,LSTM-4NN RMSE,LSTM-LN-4NN RMSE,MoM LogNorm KLD,LogNorm KLD,2-NN KLD,8-NN KLD,LSTM Time KLD,LSTM Dist. KLD,LSTM-4NN KLD,LSTM-LN-4NN KLD
08EE008,49.81421176263781,41.52723093336758,7.76818480086965,9.98498411724728,4.9225542209245905,9.720803968918581,7.17207315213741,17.6480745639788,6.719346727920346,5.601531238139584,1.047836054745195,1.3468560072024196,0.6639942182561733,1.311221236472485,0.9674279182596528,2.3805167173501296,111.0058748631373,46.71896403441069,42.26495489850022,41.54658605071795,24.173256488901963,20.17297261007316,19.619671132617754,19.214357828658102,0.3651312060174503,0.124772753157365,0.1310344761361899,0.1224729902642889,0.2431040480510373,0.0863730690149659,0.0738331153988838,0.0754776373505592
09AA013,15.786712252847959,0.63461853713645,-46.69392943702956,-41.902174479062445,1.4479060003903599,7.3231412843573995,-20.362013041471467,-13.43603848562671,2.5073515209100083,0.1007943724317714,-7.41624304769851,-6.655184387145587,0.2299661420355957,1.1631104148275018,-3.232787402200801,-2.133180833513515,41.85119627459437,28.655090136797522,87.31021340090801,87.9382572050104,6.071934245990285,9.307252448359815,38.78660406679914,24.93341937197617,0.2325406471870418,0.1931408302054668,0.4518181535146154,0.3705296198243147,0.0252552488977129,0.0594009915084035,0.1778705567121505,0.1603879183530807
10BC001,3.4776476644228103,-10.56069019953567,-2.77354373187038,2.2365062373918496,-23.859111392025913,-22.24142873453852,-8.363309961888179,-9.11323439554165,0.355423171283173,-1.0793255567714526,-0.2834622146914788,0.2285758122136682,-2.438453188258729,-2.2731224947166657,-0.854754367691129,-0.9313988048846148,28.68850888886523,29.763195849524248,9.512586756958097,12.745594944600992,23.935775555102047,25.012593530658144,13.041947991949176,18.163433712835243,0.2117883725301345,0.2156672089377506,0.0621293429156673,0.092742106767553,0.2258051728452444,0.1672139730989961,0.0807131379842758,0.1136713325977325
12452500,0.21141153570857002,-26.96133094102462,-45.72291028833672,-50.292528474323184,-34.056404695343616,-22.7810955785883,-36.65011114962988,-33.40084713730952,0.0518890987299899,-6.617421127952138,-11.222285473789782,-12.34385799544186,-8.358844467508716,-5.591419189557196,-8.995444205150502,-8.197941217743422,76.72836114493423,99.66909854379541,239.5659781627114,290.6063979856286,118.41456384750532,112.00464471764464,184.87936833546206,151.99234274518722,0.5847883329454331,0.7332837698088902,1.6779915171480049,1.5491512427080592,1.0098070743010328,0.8488997910246449,1.0965715646743774,0.9302545785903932
08MH076,-11.77424425040362,17.11275823232242,-25.94213153803606,0.30225280484292,-21.0082431821526,-18.44756885646321,-18.89945243190792,-8.65248154797676,-6.562246178590817,9.537608523057155,-14.458563108552942,0.1684572930004269,-11.70871442863618,-10.281550616589833,-10.533387504379178,-4.822358814240481,49.231261411392914,17.34741469657617,32.56310157934015,34.812082369651186,63.07403445901048,76.0134968094226,38.492953413850174,26.897158416270717,0.1626448279931014,0.0479321523832486,0.1526084122669964,0.0746384993490798,0.1097367260415983,0.1068950026269809,0.0752997100353241,0.0488824136555194
08NJ130,36.70061373686172,3.44774864248301,-2.11088486451949,13.7972018067506,40.281256942766966,47.18638825560223,26.27234282171046,18.42186816341021,4.661715939365566,0.4379334066952148,-0.2681248245506177,1.75252207067512,5.11652962792752,5.99362015658332,3.3370930677353536,2.339931728206966,86.67473414806686,65.7651822583139,26.71415963134749,25.490149106691252,61.74573173844227,60.939441652471984,39.38388026282767,45.10048342061901,0.2745790131268343,0.2569779131150329,0.1302146793072594,0.113716182485048,0.5004369334565468,0.267823282517899,0.1783105880022049,0.175359696149826
08JE001,-8.742220913541649,-11.0553267010038,-18.40583220752175,6.05359335079214,-21.90253207824939,-21.20387769322967,-11.71743580335411,-11.49478353415726,-0.8003931833244018,-1.0121693581548878,-1.6851441730891863,0.5542361489729325,-2.005284188806073,-1.9413189547082603,-1.0727899646383274,-1.0524050336681956,29.206113031717784,41.744196304938086,23.60048470829339,32.18338231261249,27.797712868592072,26.70159120860025,23.080881067068184,27.80383481054136,0.1247979238978954,0.1684359068213549,0.0584329822124994,0.1378402864400497,0.1407236164391746,0.0720521888699029,0.0763366669416427,0.0947025045752525
07EC004,-5.84661566273771,-18.04307981573599,-17.3213774036366,-19.758550279054678,3.1761883766466297,4.72109830398994,-7.33909749089126,-10.8903185478844,-1.0226059454439438,-3.155836086727046,-3.029606277889485,-3.45588151406778,0.55553320162795,0.8257466324415066,-1.2836491468897056,-1.9047775466532604,38.773610828944236,33.71875768461443,18.81660942780634,26.012445036825472,5.759587600660554,6.4521340892464085,9.682022509325217,15.680722885814724,0.2285198876872517,0.2065395881213461,0.1053974208681654,0.130249544817234,0.014001692714619,0.0177697002223322,0.0493640005588531,0.0792549699544906
12104500,-18.01485937318422,-17.41967455716392,-14.12236137581108,9.0644866908579,-19.759040922366967,-18.53094780604565,-14.69943847830174,-15.62948814365111,-7.291795279961927,-7.050884943541424,-5.716246010520709,3.668992352283486,-7.997779963176216,-7.500690121760336,-5.949828158320707,-6.326280340198321,26.210637728918428,21.346930125750063,15.342562156644558,12.065165451488014,18.48827433411997,18.1078822798459,12.867625917753568,15.100354327587429,0.0596409043753659,0.0553305796245813,0.044892260659927,0.0159899400835563,0.0731086958338649,0.0627127478904592,0.0227850042283535,0.0284641422331333
08CF001,11.81341396861748,9.30824392149349,-14.213555839492532,22.56699620175341,12.31742335533743,14.441913045576829,11.959821231912949,10.33817812835707,2.0825879895759654,1.6409512987899184,-2.5057092521374376,3.978338131164143,2.171439857309112,2.545966367987916,2.1083891415285936,1.8225107287435665,66.42583030373153,37.233262930914755,19.85191321903683,19.172071137604775,24.504402355009812,24.37227374831479,15.698609736060497,21.024284043167807,0.3952064465050292,0.2645590942557001,0.0837840592695969,0.0859657723481561,0.2999417543279954,0.1346035318657568,0.0626339241862297,0.1079727709293365
07OC001,88.8209798636629,149.88315696899298,33.66005812354966,47.0833755597115,-30.57718282045816,-26.04716950811483,10.193963729421,42.52556919538164,2.215582140488473,3.7387388233079633,0.8396284722462316,1.1744644808482336,-0.7627281332343576,-0.6497298685630067,0.2542817209662751,1.0607723557876776,588.5085962995,75.8846011921966,68.37731241364153,89.01231212180933,60.18616282692213,70.5531102906774,39.81356567004819,43.549009302002275,1.522925716710547,0.1087231104355654,0.1027557214996395,0.0899918349864917,0.1783749803601148,0.1316955998450762,0.0492675527930259,0.0555518306791782
10EB001,18.88297336355318,8.10432170691918,8.0709509814347,-3.52764153621046,-16.00258164717352,-14.71529942911822,-6.714650246652271,-2.67328623844416,2.9362244061156204,1.260188569497141,1.2549995594439656,-0.5485336962154836,-2.4883353849336407,-2.288168314131746,-1.044105254149835,-0.4156869092023983,73.82653938772255,36.09152535901876,7.139516776801713,10.480384114011487,16.50005474817311,15.642595047404729,7.7074831483748385,12.947184445444782,0.3630673150769277,0.2221504866288539,0.0315255390939595,0.0286843847271059,0.0961005374295483,0.032445902242952,0.0176623966544866,0.0516316965222358
08NM146,-2.5475358649464397,-16.63441384659368,64.33224956767853,61.58543658935803,-29.646275452997067,-24.62458477810407,48.09119968095085,25.568656964795377,-0.1136686490714939,-0.7422118667908156,2.870444338275073,2.7478841322367957,-1.3227888671213697,-1.09872576248594,2.1453817400151625,1.140635503645205,374.6175333025822,191.6040141379657,736.5794596365566,292.5461863197945,336.88338259897205,313.8386668749699,472.8650638510375,347.92002488905564,0.9257794387031538,0.3750944242156166,3.1468625463095683,0.5673078805044971,2.2904365099986466,1.1582433780485832,1.444475173950195,0.7476703524589539
08FC003,171.04154774336288,54.28996550834489,-44.682555572866974,64.49155677829161,43.66724121841427,53.73792195123346,19.07278881034194,30.58096017225037,8.151844872486311,2.587461250179393,-2.12957182826004,3.073669370851309,2.0811819181855262,2.5611508390553066,0.909009210499758,1.457488715411592,204.65655531184396,67.28503028599955,192.38294502989075,86.65522573502741,36.540365761497554,42.28142977779334,53.039649658592694,49.984794675957154,0.683428319884589,0.2323623830033638,0.4538734022609016,0.2966963417326841,0.1500533055936657,0.1748905225996574,0.1757030487060547,0.1794860959053039
12144500,-1.6185100280557503,-13.75855857428529,3.99359057803584,7.2849895988268205,-1.78269158668451,-1.34558153949039,3.87442848125559,-2.27909732188834,-1.219377519392011,-10.365630570034243,3.0087515604474864,5.488475444594565,-1.3430711006614138,-1.0137545343073795,2.9189765743748515,-1.7170614260910524,6.87557219418744,14.794605418761186,4.839281668976381,6.091799564199407,3.4266657219802488,2.6182128193040555,3.422828400422717,3.004943689113526,0.0237963401422972,0.0421141233401144,0.0068916567740836,0.0079920560833651,0.0127886196879719,0.0072437059812034,0.0040496815927326,0.0045816735364496
12392895,-47.272667885936045,-76.96925816747496,-54.26286737926368,-54.44274920896996,-76.09685710101688,-73.97195882512786,-65.11494734408514,-69.3059091357938,-7.782255724413392,-12.671052359959768,-8.933016247449679,-8.962629266167545,-12.527433467753186,-12.177622413906295,-10.718829590630842,-11.408720423664748,87.047254079775,290.0404005458096,281.4260833916523,180.08213695093565,303.77851668655717,289.3123894103754,243.29198218528552,257.2776124634943,0.2365344061416474,0.9284079639072704,0.4488567758283718,0.3286695847889161,1.6190261046173886,0.9459355303054384,0.5216251611709595,0.5929368734359741
08NG078,67.11356768701575,28.39321178198107,23.085475352214118,82.76801796066124,-8.36972175355289,-5.06370027121573,22.584869092690198,24.11264923356837,4.439070872067645,1.878002969140688,1.52693508534304,5.474498083329062,-0.5535957828493687,-0.33492667955996,1.493822916342705,1.5948743316159404,83.35001665282817,51.35804891100189,44.141092405848156,246.1710427146122,53.11664488446788,57.895922001010966,169.9772105259043,129.2009143055448,0.3389168219871784,0.2497803106705024,0.2622658035667375,0.2748792641885715,0.3360639209288553,0.315212133855754,0.3353781402111053,0.2632414400577545
08FF003,7.8415281202482205,6.850423565509909,-34.686190945030134,-36.48083266386713,-29.51243700017282,-27.821859193536458,-26.40173319656875,-15.98715176475794,7.353213606092191,6.42382798313647,-32.526182051418004,-34.209066267689245,-27.67461264829844,-26.08931198504933,-24.751378052225984,-14.987805321783291,14.554659412321303,10.300936428152884,46.16264172144926,67.92004378618147,37.5872203372752,33.0978955515755,28.22563522568593,18.281738600831687,0.0280107117168763,0.0258339400012787,0.1331000089106304,0.1658083185837513,0.2044458185760871,0.1518269467125597,0.0893137231469154,0.0438890568912029
15052000,-41.33534401284267,-34.866118858197034,-5.24887510950335,-18.90307835405493,-32.25617018829729,-29.61631453479831,-18.61038246008642,-24.65383656100269,-62.85429531650537,-53.01722735324545,-7.981410439203697,-28.743916317417373,-49.04855385175407,-45.03440395653563,-28.29883860611495,-37.48847952790064,180.63634656986966,75.78219501111528,86.15529178081371,49.67533775103945,77.05973139409164,71.35709992965482,54.846030957533976,55.303284188158976,1.2747327325885534,0.2745931514623992,0.1053948559606231,0.1538325029408523,1.5420734540181738,0.764903746870694,0.1977672278881073,0.1838279962539672
08NH005,8.97926584714905,15.82423915713648,23.54433276562718,19.604593183225262,9.00511211288727,11.20188856159086,16.45192259186247,16.13593242062852,2.589489360156485,4.563479868789807,6.789842312991856,5.653678855524311,2.596943046378524,3.2304613470273926,4.744494940233107,4.653367975575224,33.73750041645967,37.02715639996603,17.68567685342479,19.453507431187013,9.636631933785388,9.035222664332142,12.219932134227097,17.762577112821386,0.172553244037891,0.1792843961068417,0.048704962808069,0.05342085171795,0.053926606478505,0.0168677852421611,0.0183111187070608,0.0443834364414215
08LG068,-35.894049502229706,-50.12748368055515,-63.33916904342346,-42.18790203524653,-56.38372952118177,-55.30350340130711,-46.07649730420068,-47.427372059905345,-6.736971877100563,-9.408452167113088,-11.888159917368904,-7.918268167197855,-10.582690038543856,-10.379941864642417,-8.648121785930742,-8.901668172665484,42.631318453597466,65.17100276673453,228.79106744491358,85.97961787397723,121.68349720054312,116.72243813046089,90.95437809830504,78.46375637335545,0.114964757601055,0.1345189017819565,0.3968093396484257,0.1015664474766817,0.5033439486533015,0.3642525297719792,0.1444418877363205,0.1166330575942993
05BL022,14.46597485856738,-16.42286709321522,33.45201540507316,29.076270332504578,-14.5957898642179,-11.840803892676451,13.90707179495611,3.5386497542622797,1.5741705757464306,-1.787117314960824,3.64020944768167,3.1640459531678244,-1.5882968938261544,-1.2885025214872388,1.5133505361150164,0.3850715363875776,89.23361634890054,35.31065955313832,36.92005939028347,44.08662588684407,11.972923399740276,8.395601064355617,19.456999602585267,21.04963203623513,0.2982864079740435,0.1253709660428822,0.1143999928642862,0.1783194715048976,0.056734384147589,0.0121458574614663,0.0325366854667663,0.044921938329935
10BE004,-5.66499887347708,-19.564797515719683,-13.21523957858762,-6.128161236866609,-12.47409906064893,-9.57798476597023,-9.09454336802815,-12.65247474413836,-0.9360900345195812,-3.2329065531865773,-2.183699299786745,-1.0126234429838543,-2.061232505261991,-1.582675705759142,-1.5027925759708796,-2.090709158636158,37.436471359351046,38.439754665683765,27.44533214617364,17.462830750350044,25.70673099997347,26.618475774607475,21.70923112368357,24.25028255205892,0.2747253616870583,0.2591148033493841,0.2334163519511899,0.1635811484442299,0.244246862653383,0.1899712526986282,0.1794775575399398,0.1835512369871139
08KH003,-9.383597639241561,1.89301153195569,13.874675257636628,10.09800463145363,-10.04180393184208,-8.71835213385819,1.2324906015700001,1.12740401822973,-2.7057114854123894,0.5458400115762649,4.00069031561639,2.9117070191513417,-2.8955018402558514,-2.51389141024128,0.3553820884141674,0.325080932848193,19.895914941408186,17.801394217644194,14.726213344347116,10.382300425540357,11.883331466067592,9.518441397605182,4.3276673802389976,6.7806271757674175,0.1067695120321459,0.0991041272666705,0.037620379949184,0.0215096512148274,0.1250721866402345,0.0395518670237064,0.0265003237873315,0.023117858916521
08KA009,-20.16687637962607,-30.37188541281442,-16.899781099067297,-15.522377873412541,-14.964338382613859,-13.23282264210522,-9.412296726180989,-16.461821673192862,-6.497305446538143,-9.785125509752865,-5.444722212469291,-5.000954456290296,-4.821166919802361,-4.263312225808254,-3.0324248036141888,-5.3036190641556855,33.1697153781459,50.627484951626236,51.0075115423533,29.558917336077208,12.489507942446787,10.176626608805917,16.8870214067953,26.451883213123352,0.1713007148544383,0.1884875692870655,0.2393690585078219,0.1053499889331777,0.1588341144000816,0.0476346980562346,0.0477830097079277,0.0767133980989456
05CB004,6.89624470864314,-5.56857360311489,-42.95327456994201,-18.69805028254045,-45.23211270163955,-42.18302893515112,-38.9999074080799,-29.11193705954339,0.2301494996076173,-0.1858409152272148,-1.4334866389516194,-0.6240130821882404,-1.5095386756549596,-1.4077811057358538,-1.3015504075948532,-0.9715575257461844,144.884082087541,393.9208066815503,428.6785731271864,315.86101490194034,269.72152797866534,276.577997035581,329.4819840421062,348.6640676747247,0.5795237726621852,0.9507191540737464,1.155854373172054,0.8971800058742672,0.9939890480878508,1.00015494780763,1.0392473936080933,1.0075329542160034
