region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,q_mean_mm,q_sd_mm,record_len_years,camels_q_mean_mm,n_years,log_drainage_area_km2,n_complete_years,tmean
ERK,05AA008,402.9,-114.555133514517,49.634643307048,-1507.61,15.45272,0.64,0.1,0.21,0.02,0.01,0.02,0.0,0.0,0.0,0.63,0.11,0.22,0.01,0.01,0.02,0.0,0.0,0.0,0.61,0.12,0.22,0.01,0.01,0.02,0.01,0.0,0.0,15.057178,95.682564210088,1661.9714,1705.9473,2799.1418,1280.0974,1705.9473,799.4,-3.7,7.2,531.5,156.7,284.0,4.4,0.7,1.0,0.1,1.09904963476822,1.38819503297556,69,,68,6.00116732256937,58.0,1.75
ERK,05AA022,820.6,-114.367910879131,49.3743737912964,-1397.57,8.62704,0.55,0.15,0.25,0.01,0.03,0.0,0.0,0.0,0.0099999999999998,0.54,0.17,0.25,0.01,0.03,0.0,0.0,0.0,0.0,0.52,0.22,0.24,0.01,0.01,0.0,0.0,0.0,0.0,16.131596,60.754588989085,1671.9384,1714.5967,2759.7065,1193.3268,1714.5967,932.4,-3.0,7.2,559.4,203.7,288.4,4.5,0.7,1.0,0.1,1.62547865812631,2.6711277829701,68,,68,6.71125365861435,72.0,2.1
ERK,05AA023,1447.8,-114.471124234491,49.9599813289081,-1545.38,17.50991,0.71,0.1,0.18,0.01,0.01,0.0,0.0,0.0,-0.01,0.7,0.1,0.18,0.0,0.01,0.0,0.0,0.0,0.01,0.69,0.11,0.19,0.0,0.01,0.0,0.0,0.0,0.0,14.753471,97.4410697221071,1848.0371,1857.3859,3064.323,1272.33,1857.3859,738.9,-4.5,6.4,506.4,155.8,287.4,4.6,0.7,1.0,0.1,0.765006571711812,1.28681259740134,59,,59,7.2784909065692,59.0,0.9500000000000002
ERK,05AA035,1837.9,-114.392622139741,49.938908911853,-1486.82,15.64992,0.62,0.14,0.21,0.01,0.02,0.0,0.0,0.0,0.0,0.62,0.14,0.22,0.01,0.02,0.0,0.0,0.0,-0.01,0.6,0.14,0.25,0.0,0.01,0.0,0.0,0.0,0.0,13.193043,117.555650908086,1760.9982,1769.4253,3064.323,1187.3035,1769.4253,702.5,-4.1,7.0,518.3,138.0,286.8,4.8,0.7,1.0,0.1,0.773177409305936,1.44985738023787,7,,7,7.51692284574681,14.0,1.4500000000000002
ERK,05AB022,1.4,-114.068624282464,50.1018871525851,-1520.0,19.0,0.87,0.05,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.84,0.07,0.07,0.01,0.01,0.0,0.0,0.0,0.0,0.15,0.81,0.04,0.0,0.0,0.0,0.0,0.0,0.0,12.137738,353.224484825441,1530.0835,1532.9474,1697.9468,1403.3276,1532.9474,571.4,-3.0,8.8,549.1,71.1,275.3,5.8,0.8,1.0,0.1,0.0546564308369473,0.243413583824598,7,,7,0.8754687373539,6.0,2.9000000000000004
ERK,05AB030,6.1,-114.060252411297,50.1091177165784,-1520.0,19.0,0.73,0.07,0.1,0.01,0.08,0.0,0.0,0.0,0.01,0.73,0.08,0.1,0.02,0.08,0.0,0.0,0.0,-0.01,0.06,0.89,0.05,0.0,0.0,0.0,0.0,0.0,0.0,10.999665,359.640402447461,1461.5339,1464.7528,1697.9468,1321.0,1464.7528,549.4,-2.8,9.3,552.6,63.6,276.0,5.8,0.8,1.0,0.1,0.194604498147931,0.474143797044518,21,,19,1.96009478404727,5.0,3.2500000000000004
ERK,05AD003,617.3,-113.959022256755,49.0174170754785,-1471.57,8.75434,0.55,0.13,0.25,0.01,0.01,0.0,0.03,0.0,0.02,0.54,0.16,0.24,0.01,0.01,0.0,0.03,0.0,0.0099999999999998,0.38,0.18,0.37,0.01,0.02,0.0,0.03,0.0,0.0099999999999998,23.167273,349.791155313954,1846.6346,1833.0974,3187.4797,1274.2689,1833.0974,1303.9,-3.1,7.0,562.0,360.7,299.4,4.0,0.7,1.0,0.0,2.50461195705253,3.66915350519655,66,,66,6.42697377656452,73.0,1.95
ERK,05AD031,13.8,-113.854484755805,48.9783465839366,-1497.01,10.648,0.63,0.15,0.18,0.02,0.02,0.0,0.0,0.0,0.0,0.63,0.15,0.18,0.02,0.02,0.0,0.0,0.0,0.0,0.59,0.16,0.21,0.02,0.02,0.0,0.0,0.0,0.0,31.964348,253.296027791357,1993.0739,1989.7314,2694.9956,1391.8881,1989.7314,1403.7,-3.5,6.3,551.8,403.2,308.7,4.1,0.7,1.0,0.0,3.69911168966415,5.44817045222761,6,,5,2.69462718077007,2.0,1.4
ERK,05AD033,25.2,-113.795005426869,48.9667247983814,-1461.39,9.65865,0.45,0.23,0.28,0.02,0.02,0.0,0.01,0.0,-0.01,0.42,0.24,0.29,0.02,0.02,0.0,0.01,0.0,0.0,0.41,0.24,0.29,0.02,0.03,0.0,0.01,0.0,0.0,31.235575,72.8183234714133,2105.9602,2097.8091,2892.2576,1548.9257,2097.8091,1525.2,-4.0,5.4,536.0,490.7,311.5,4.2,0.7,1.0,0.1,4.247738328208,5.07982059211698,6,,5,3.26575941076705,2.0,0.7000000000000002
ERK,05BA001,426.9,-116.352409830302,51.5863249884305,-1325.41,11.09095,0.42,0.03,0.35,0.01,0.01,0.02,0.04,0.13,-0.01,0.41,0.03,0.39,0.01,0.01,0.02,0.04,0.09,0.0,0.42,0.03,0.4,0.01,0.01,0.02,0.04,0.07,0.0,17.657234,157.92843192733,2201.8984,2199.0891,3330.2544,1559.8314,2199.0891,917.1,-7.2,3.1,411.5,406.1,300.9,3.4,0.6,1.0,0.0,2.61033308404114,2.42181357445398,54,,53,6.05888952342277,20.0,-2.05
