region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,q_mean_mm,q_sd_mm,record_len_years,camels_q_mean_mm,n_years,log_drainage_area_km2,n_complete_years,tmean
ERK,05BB001,2210.5,-116.010586954251,51.3602361379286,-1396.83,13.99387,0.51,0.04,0.35,0.01,0.01,0.01,0.02,0.05,0.0,0.5,0.04,0.38,0.01,0.01,0.01,0.02,0.03,0.0,0.49,0.04,0.39,0.01,0.01,0.01,0.01,0.02,0.02,19.713493,96.7822306286978,2165.0339,2140.7561,3491.4385,1399.4758,2140.7561,808.0,-7.0,3.8,419.3,310.3,296.6,3.8,0.6,1.0,0.0,1.51518564284555,1.72558978435105,68,,69,7.70142629730838,74.0,-1.6
ERK,05BF016,9.3,-115.188841697707,50.9598803367563,-1520.0,19.0,0.67,0.07,0.24,0.01,0.01,0.0,0.0,0.0,0.0,0.66,0.08,0.24,0.01,0.01,0.0,0.0,0.0,0.0,0.62,0.09,0.27,0.01,0.01,0.0,0.0,0.0,0.0,19.819534,92.5297753104296,2115.48,2126.5452,2797.0708,1593.2825,2126.5452,844.4,-6.7,5.5,440.0,263.7,305.4,4.6,0.7,1.1,0.1,1.38509295268068,1.98776169427532,55,,53,2.33214389523559,24.0,-0.6000000000000001
ERK,05BF017,3.2,-115.198247635346,50.961738913854,-1520.0,19.0,0.44,0.09,0.44,0.01,0.02,0.0,0.0,0.0,0.0,0.44,0.09,0.43,0.01,0.02,0.0,0.0,0.0,0.01,0.39,0.12,0.45,0.02,0.02,0.0,0.0,0.0,0.0,23.171326,111.179892886141,2303.0452,2269.3518,2797.0708,1749.2096,2269.3518,893.5,-7.4,4.6,422.4,325.6,313.8,4.6,0.7,1.1,0.1,1.15307885392433,1.95732310011511,24,,23,1.43508452528932,20.0,-1.4000000000000004
ERK,05BF018,3.0,-115.193715060986,50.9525630607552,-1520.0,19.0,0.74,0.05,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.04,0.22,0.0,0.0,0.0,0.0,0.0,0.01,0.64,0.07,0.27,0.0,0.01,0.0,0.0,0.0,0.01,19.789234,51.6288861961688,2156.0425,2160.4885,2579.0291,1760.0,2160.4885,879.1,-7.1,4.9,428.1,292.3,311.9,4.5,0.7,1.1,0.1,1.20030893991207,2.18147236090469,24,,23,1.38629436111989,21.0,-1.0999999999999996
ERK,05BF019,2.2,-115.179146309961,50.9684270034217,-1520.0,19.0,0.77,0.11,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.77,0.11,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.76,0.09,0.13,0.01,0.01,0.0,0.0,0.0,0.0,18.397602,122.265717006108,1995.1084,2039.864,2740.0476,1716.5253,2039.864,830.4,-6.4,5.8,447.0,230.6,300.3,4.6,0.7,1.1,0.1,0.823518955180637,1.44337774003735,24,,23,1.16315080980568,21.0,-0.3000000000000002
ERK,05BF020,1.3,-115.21040157579,50.9591787279296,-1520.0,19.0,0.26,0.15,0.54,0.02,0.03,0.0,0.0,0.0,0.0,0.27,0.16,0.53,0.02,0.02,0.0,0.0,0.0,0.0,0.16,0.12,0.67,0.03,0.02,0.0,0.0,0.0,0.0,22.923607,92.9385456505322,2437.2686,2438.2671,2797.0708,2191.6809,2438.2671,957.0,-8.3,3.4,397.6,426.4,329.9,4.5,0.7,1.1,0.1,2.02634267021887,2.9751409402469,23,,21,0.832909122935104,5.0,-2.45
ERK,05BG002,212.4,-115.356392707848,51.3447581704532,-1520.0,19.0,0.39,0.03,0.55,0.01,0.01,0.0,0.0,0.0,0.0099999999999998,0.39,0.03,0.55,0.01,0.01,0.0,0.0,0.0,0.0099999999999998,0.32,0.04,0.6,0.02,0.02,0.0,0.0,0.0,0.0,25.257328,132.286233485577,2205.959,2209.2268,3097.179,1540.12,2209.2268,895.6,-7.5,4.2,417.2,306.5,305.6,4.4,0.7,1.1,0.1,1.26289711846696,1.62549438819153,44,,44,5.36316833886765,5.0,-1.65
ERK,05BG006,333.9,-115.094935317336,51.3669885438424,-1550.06,17.38127,0.73,0.06,0.2,0.0,0.0,0.0,0.0,0.0,0.01,0.71,0.06,0.22,0.0,0.0,0.0,0.0,0.0,0.01,0.62,0.15,0.21,0.01,0.01,0.0,0.0,0.0,0.0,10.819621,95.5487059664654,1621.3357,1710.1625,2878.0,1263.9647,1710.1625,716.8,-5.6,7.1,466.4,146.2,288.3,4.9,0.7,1.1,0.1,0.563321363629418,1.04416156836515,53,,52,5.81383197980016,53.0,0.75
ERK,05BH015,475.3,-114.765674165179,51.0358986423316,-1249.97,5.91994,0.62,0.1,0.11,0.01,0.15,0.0,0.0,0.0,0.01,0.62,0.1,0.11,0.01,0.15,0.0,0.0,0.0,0.01,0.44,0.37,0.14,0.01,0.02,0.0,0.0,0.0,0.02,7.5932846,54.2410934579884,1448.9468,1508.8853,2480.4341,1203.8501,1508.8853,641.6,-4.1,8.8,509.9,88.5,279.9,5.0,0.7,1.0,0.1,0.403622600597637,1.08469752270863,11,,10,6.16604790780681,16.0,2.3500000000000005
ERK,05BJ004,793.9,-114.85841172229,50.8223601647754,-1495.13,16.22432,0.6,0.05,0.31,0.01,0.02,0.0,0.0,0.0,0.01,0.6,0.06,0.32,0.01,0.02,0.0,0.0,0.0,-0.01,0.5,0.11,0.35,0.01,0.01,0.0,0.0,0.0,0.02,18.188053,63.112709338639,1902.6121,1937.1597,3162.2478,1302.8475,1937.1597,811.7,-5.9,6.4,462.4,212.8,295.7,4.8,0.7,1.0,0.1,1.01557761343181,1.23524022040225,66,,65,6.67821632057907,45.0,0.25
ERK,05BJ005,1225.4,-114.688940785816,50.8907096530105,-1441.69,10.51121,0.45,0.06,0.25,0.01,0.19,0.03,0.01,0.0,0.0,0.45,0.06,0.25,0.01,0.19,0.03,0.01,0.0,0.0,0.36,0.2,0.32,0.02,0.06,0.03,0.01,0.0,-2.2204460492503086e-16,12.554658,61.3336409719327,1640.5004,1682.0446,3162.2478,1074.9501,1682.0446,697.9,-4.8,7.8,490.3,150.4,288.0,5.1,0.7,1.0,0.1,0.680594930526693,0.78008920015833,28,,28,7.11183832755761,28.0,1.5
ERK,05BJ006,439.2,-114.910957877233,50.7576285282977,-1532.76,18.31318,0.5,0.04,0.43,0.01,0.01,0.0,0.0,0.0,0.01,0.5,0.04,0.44,0.01,0.01,0.0,0.0,0.0,0.0,0.43,0.06,0.48,0.01,0.02,0.0,0.0,0.0,0.0,21.999058,58.1877811674961,2102.1335,2105.6543,3162.2478,1510.6849,2105.6543,873.5,-6.6,5.3,443.3,268.3,301.1,4.7,0.7,1.0,0.1,1.24564312252052,1.37650940234134,29,,27,6.08722916909236,8.0,-0.6499999999999999
ERK,05BJ010,1192.4,-114.703844485255,50.8881196043458,-1448.15,10.80185,0.47,0.05,0.25,0.01,0.19,0.02,0.0,0.0,0.01,0.46,0.06,0.26,0.01,0.19,0.02,0.0,0.0,0.0,0.37,0.2,0.32,0.02,0.06,0.03,0.0,0.0,-2.2204460492503086e-16,12.850412,61.8608402511273,1663.3898,1697.557,3162.2478,1080.9354,1697.557,704.5,-4.8,7.7,488.7,153.6,288.4,5.1,0.7,1.0,0.1,0.853708088985422,1.16951529463155,36,,36,7.08456165508798,16.0,1.4500000000000002
ERK,05BK001,259.9,-114.489687905741,50.879691174813,-1197.55,1.63274,0.54,0.1,0.11,0.02,0.22,0.0,0.0,0.0,0.01,0.54,0.1,0.11,0.01,0.23,0.0,0.0,0.0,0.01,0.32,0.52,0.13,0.01,0.02,0.0,0.0,0.0,0.0,5.5525546,59.0263843378142,1331.0532,1346.402,1776.8098,1158.8846,1346.402,563.1,-3.3,9.8,530.5,57.3,277.4,5.5,0.7,1.0,0.1,0.364296211150989,1.17392881363582,61,,59,5.56413719214268,11.0,3.2500000000000004
ERK,05BL012,1492.6,-114.478531588377,50.6941620031132,-1466.9,9.25091,0.46,0.06,0.14,0.01,0.32,0.01,0.0,0.0,0.0,0.45,0.06,0.14,0.01,0.33,0.01,0.0,0.0,0.0,0.38,0.25,0.24,0.02,0.11,0.01,0.0,0.0,-0.01,9.7815332,68.8922199956607,1405.5801,1521.2363,3140.5422,1048.9396,1521.2363,628.6,-4.0,8.7,512.1,104.7,284.1,5.4,0.7,1.0,0.1,0.513162937873494,1.21379676610735,14,,50,7.30894459222751,18.0,2.35
ERK,05BL013,511.4,-114.53815815237,50.7438447211048,-1512.07,10.8306,0.6,0.08,0.07,0.01,0.23,0.0,0.0,0.0,0.01,0.59,0.08,0.08,0.01,0.23,0.0,0.0,0.0,0.01,0.49,0.32,0.14,0.01,0.04,0.0,0.0,0.0,0.0,8.7748833,76.343199524156,1425.0,1492.5903,2577.5747,1161.8846,1492.5903,621.9,-3.9,9.0,513.9,85.3,283.1,5.4,0.7,1.0,0.1,0.469086908816388,1.26735550123965,52,,52,6.23910557002258,0.0,2.55
ERK,05BL014,591.1,-114.628934061948,50.6204443786988,-1511.96,13.98911,0.58,0.06,0.22,0.01,0.12,0.01,0.0,0.0,1.11022302462516e-16,0.58,0.06,0.22,0.01,0.12,0.01,0.0,0.0,1.11022302462516e-16,0.52,0.17,0.26,0.01,0.03,0.01,0.0,0.0,0.0,15.116645,59.8382372728384,1699.0452,1765.4391,3140.5422,1172.9689,1765.4391,715.3,-5.0,7.2,486.2,158.4,290.2,5.1,0.7,1.0,0.1,0.750046149366454,1.41539008764174,48,,47,6.38367553953773,53.0,1.1
ERK,05BL020,1565.2,-114.454037476861,50.6951578078707,-1451.53,8.82141,0.43,0.06,0.14,0.01,0.34,0.02,0.0,0.0,0.0,0.43,0.06,0.14,0.01,0.34,0.01,0.0,0.0,0.01,0.36,0.24,0.24,0.02,0.12,0.02,0.0,0.0,0.0,9.4107246,71.2533397630936,1385.0,1501.2723,3140.5422,1013.1442,1501.2723,620.9,-3.9,8.8,514.3,101.6,283.7,5.4,0.7,1.0,0.1,0.380134263604537,0.726229775204645,9,,7,7.35640758231684,7.0,2.45
ERK,05BL022,166.3,-114.652641169217,50.2292058773877,-1538.27,17.46477,0.85,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.01,0.82,0.06,0.12,0.0,0.0,0.0,0.0,0.0,1.11022302462516e-16,14.82273,53.7705288276149,1999.9857,2012.2468,2869.7695,1657.8846,2012.2468,788.3,-5.5,5.0,472.0,199.5,292.8,4.4,0.7,1.1,0.1,1.03079270902924,2.3871183456202,50,,49,5.11978860799278,51.0,-0.25
ERK,05CA001,2501.5,-115.530669280171,51.62132832459,-1446.62,15.37271,0.53,0.06,0.37,0.01,0.01,0.0,0.0,0.01,0.0099999999999998,0.52,0.06,0.38,0.01,0.01,0.0,0.0,0.01,0.0099999999999998,0.5,0.1,0.37,0.01,0.01,0.0,0.0,0.01,0.0,15.488179,67.3379880640256,1968.3055,1979.9865,3231.5356,1208.9158,1979.9865,761.7,-6.8,5.0,428.7,223.8,292.0,4.4,0.7,1.0,0.1,1.16283901245808,1.16877240166193,24,,22,7.82504551118938,2.0,-0.8999999999999999
ERK,05CA002,817.8,-115.137914312044,51.8571451520908,-1225.9,5.77801,0.69,0.1,0.16,0.01,0.03,0.0,0.01,0.0,0.0,0.66,0.1,0.18,0.01,0.04,0.0,0.01,0.0,0.0,0.55,0.23,0.17,0.02,0.02,0.0,0.01,0.0,0.0,6.876266,65.1074341369081,1402.5745,1439.1108,2534.7998,1073.9158,1439.1108,678.1,-5.2,7.9,477.8,108.3,276.1,4.8,0.7,1.0,0.1,0.63483907656867,1.07121551131001,52,,51,6.70783985378713,1.0,1.35
ERK,05CA003,5.8,-115.140085663421,51.6723491833578,-1052.0,0.0,0.86,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.48,0.13,0.0,0.0,0.0,0.0,0.0,0.01,9.9234686,150.757882006075,1551.7839,1545.3458,1687.0311,1372.4172,1545.3458,662.3,-5.4,7.6,466.2,110.4,287.0,5.1,0.7,1.0,0.1,0.32763682908755,0.683154284907089,30,,28,1.91692261218206,5.0,1.0999999999999996
ERK,05CA009,2240.6,-115.588782689165,51.6115294110523,-1491.4,17.11505,0.53,0.05,0.38,0.01,0.01,0.0,0.0,0.01,0.0099999999999998,0.52,0.06,0.39,0.01,0.01,0.0,0.0,0.01,0.0,0.5,0.08,0.39,0.01,0.01,0.0,0.0,0.01,0.0,16.640757,70.0508856246367,2037.9994,2047.1592,3231.5356,1300.9689,2047.1592,778.5,-7.1,4.6,422.4,240.0,294.0,4.4,0.7,1.0,0.1,0.834657217582416,1.19540610725026,43,,43,7.71494517558274,49.0,-1.25
ERK,05CB001,2564.8,-114.479943159133,51.61549234865,-1088.49,0.88043,0.21,0.05,0.15,0.01,0.56,0.01,0.01,0.0,0.0,0.21,0.05,0.15,0.01,0.56,0.01,0.01,0.0,0.0,0.18,0.17,0.15,0.03,0.45,0.02,0.01,0.0,-0.01,2.9370131,38.3355434570202,1156.3055,1185.7908,1877.0033,910.89154,1185.7908,520.7,-3.6,9.6,515.6,53.4,270.8,5.3,0.7,1.0,0.1,0.160035767816622,0.333454785083751,59,,58,7.85002559981524,62.0,3.0
ERK,05CB002,455.2,-114.861108106655,51.4581399366401,-1199.91,4.96082,0.62,0.08,0.27,0.01,0.02,0.0,0.0,0.0,0.0,0.62,0.08,0.27,0.01,0.02,0.0,0.0,0.0,0.0,0.6,0.32,0.07,0.0,0.01,0.0,0.0,0.0,0.0,7.2342739,74.9747358622591,1419.7175,1427.0857,1877.0033,1186.9158,1427.0857,600.0,-4.5,8.6,492.3,75.3,277.0,5.2,0.7,1.0,0.1,0.514808937616573,1.13649394573984,57,,56,6.12293130985029,0.0,2.05
ERK,05CB004,660.6,-114.742441260219,52.0732688576272,-1232.22,0.0,0.33,0.08,0.14,0.02,0.42,0.01,0.0,0.0,0.0,0.32,0.08,0.14,0.02,0.42,0.01,0.0,0.0,0.01,0.2,0.19,0.18,0.05,0.36,0.01,0.0,0.0,0.0099999999999998,1.3828063,31.6569596975302,1069.0,1099.3977,1498.7256,961.8501,1099.3977,566.8,-4.3,9.4,506.8,69.1,266.9,4.9,0.7,1.0,0.1,0.29641405973599,0.309652253636702,48,,47,6.49466114370948,51.0,2.5500000000000003
ERK,05CC001,1798.2,-114.198509311595,52.6346293653573,-1081.7,1.0497,0.15,0.05,0.08,0.01,0.64,0.02,0.05,0.0,0.0,0.15,0.05,0.08,0.01,0.64,0.01,0.05,0.0,0.0099999999999998,0.09,0.09,0.13,0.04,0.57,0.02,0.05,0.0,0.01,1.5586299,29.1505865007417,937.22528,939.66498,1107.0,843.95844,939.66498,550.4,-3.3,9.3,545.7,66.1,257.3,4.9,0.7,1.0,0.1,0.135619688930052,0.437017250285781,56,,56,7.49509740064511,53.0,3.0000000000000004
ERK,05CC007,1867.1,-114.603650450705,52.5095729759855,-1189.43,0.0,0.25,0.08,0.09,0.02,0.55,0.01,0.01,0.0,-0.01,0.25,0.08,0.09,0.02,0.55,0.01,0.01,0.0,-0.01,0.15,0.14,0.16,0.06,0.47,0.01,0.01,0.0,0.0,1.5029976,20.6402043644627,985.69446,988.98718,1133.1741,914.0,988.98718,560.3,-3.7,9.3,528.3,65.8,260.2,4.8,0.7,1.0,0.1,0.211742563867651,0.530254921253649,56,,55,7.53267715054652,48.0,2.8000000000000003
ERK,05CJ009,41105.9,-113.328795982193,51.6672185575008,-1140.73,1.24627,0.11,0.04,0.28,0.01,0.51,0.02,0.02,0.0,0.0099999999999998,0.11,0.04,0.28,0.01,0.51,0.01,0.02,0.0,0.02,0.09,0.08,0.33,0.03,0.43,0.02,0.03,0.0,-0.01,2.4927282,26.0425644247223,905.0,983.46826,3231.5356,619.79065,983.46826,451.5,-3.3,9.8,518.0,57.8,270.2,6.0,0.8,1.0,0.1,0.14198904600231,0.144364790182123,4,,2,10.6239312696052,1.0,3.2500000000000004
ERK,05DA007,248.2,-116.581804710462,51.7835309563514,-1519.29,18.94476,0.31,0.02,0.38,0.01,0.01,0.03,0.05,0.19,0.0,0.31,0.02,0.44,0.01,0.01,0.03,0.05,0.13,0.0,0.31,0.02,0.5,0.01,0.01,0.02,0.04,0.09,-2.2204460492503086e-16,22.502748,316.711325814943,2286.1238,2264.8147,3296.7546,1646.4825,2264.8147,990.2,-7.5,2.8,407.1,463.9,299.6,3.3,0.6,1.0,0.0,2.52505317051285,2.81350141092642,66,,65,5.5182557869133,56.0,-2.35
ERK,05DA009,1920.9,-116.858354073206,51.9616424112665,-1456.96,16.38565,0.35,0.03,0.33,0.01,0.01,0.02,0.04,0.21,0.0,0.31,0.03,0.41,0.01,0.01,0.03,0.04,0.16,0.0,0.31,0.03,0.47,0.01,0.01,0.02,0.03,0.12,0.0,21.740829,60.733551128814,2231.3872,2197.325,3539.2722,1349.0828,2197.325,944.2,-7.2,3.4,413.9,420.4,293.1,3.5,0.6,1.0,0.0,2.39554784110448,2.98311374376436,47,,46,7.56106955904036,51.0,-1.9
ERK,05DA010,19.9,-116.520023389264,51.798459034508,-1520.0,19.0,0.12,0.02,0.65,0.01,0.01,0.04,0.04,0.11,-2.2204460492503086e-16,0.1,0.02,0.76,0.01,0.01,0.03,0.03,0.04,0.0,0.12,0.02,0.81,0.01,0.01,0.01,0.01,0.01,0.0,26.82617,253.63623185184,2452.5752,2435.7014,3039.4312,1699.9158,2435.7014,994.4,-8.0,2.2,393.1,481.8,311.3,3.4,0.6,1.0,0.0,1.8634530770637,2.92356237268135,46,,45,3.03974915897077,50.0,-2.9
ERK,05DB001,3225.2,-115.466703745699,52.0309632718759,-1292.21,8.32446,0.63,0.06,0.22,0.01,0.07,0.0,0.01,0.0,0.0,0.62,0.07,0.23,0.01,0.07,0.0,0.01,0.0,-0.01,0.55,0.13,0.23,0.02,0.06,0.01,0.01,0.0,-0.01,10.25324,45.2668340108375,1488.8723,1593.6919,3303.2615,961.0,1593.6919,713.0,-5.7,6.9,463.0,153.2,277.5,4.5,0.7,1.0,0.1,0.683022048286822,0.712896134600845,26,,24,8.07906025304369,21.0,0.6000000000000001
ERK,05DB002,851.8,-115.247020602406,52.2024526556042,-1055.03,0.0,0.74,0.09,0.1,0.01,0.06,0.0,0.0,0.0,0.0,0.71,0.09,0.11,0.01,0.06,0.0,0.0,0.0,0.02,0.63,0.19,0.11,0.02,0.05,0.0,0.0,0.0,0.0,4.4571629,50.1616558942112,1248.8138,1260.8267,1979.1154,990.96893,1260.8267,660.1,-4.8,8.7,493.3,89.5,268.0,4.6,0.7,1.0,0.1,0.468649638125717,0.599002861153094,67,,67,6.74852505341158,61.0,1.95
ERK,05DB006,2256.9,-115.579564103078,51.9530059766895,-1385.1,11.89586,0.61,0.05,0.26,0.01,0.05,0.0,0.01,0.01,0.0,0.6,0.05,0.28,0.01,0.05,0.0,0.01,0.0,0.0,0.55,0.1,0.28,0.02,0.04,0.0,0.01,0.0,0.0,12.914591,44.0366587278368,1659.5282,1749.3617,3303.2615,984.88214,1749.3617,739.7,-6.1,6.2,450.1,179.6,281.5,4.4,0.7,1.0,0.1,0.669910607470424,0.761033900737363,42,,41,7.72219045674928,47.0,0.0500000000000002
ERK,05DC006,1850.7,-115.934578316223,52.1462161747875,-1258.22,7.99961,0.76,0.04,0.18,0.01,0.01,0.0,0.0,0.0,0.0,0.74,0.05,0.2,0.01,0.01,0.0,0.0,0.0,-0.01,0.7,0.06,0.22,0.01,0.01,0.0,0.0,0.0,0.0,13.468536,44.985737498099,1763.3271,1815.2372,3164.3042,1055.9689,1815.2372,724.0,-6.3,6.0,442.2,152.3,279.4,4.4,0.7,1.0,0.1,0.726824963593332,1.06421359230701,52,,51,7.52385941504377,47.0,-0.1499999999999999
ERK,05DC007,3901.6,-116.692740103139,52.0274005504005,-1431.62,15.33181,0.38,0.03,0.39,0.01,0.01,0.02,0.04,0.12,0.0,0.36,0.03,0.44,0.01,0.01,0.02,0.04,0.09,-2.2204460492503086e-16,0.35,0.03,0.49,0.01,0.01,0.01,0.03,0.06,0.01,21.577415,48.2592139946336,2197.8547,2160.6836,3539.2722,1233.0133,2160.6836,852.1,-7.2,3.9,413.9,331.7,289.6,3.7,0.6,1.0,0.0,2.72709515622782,2.39666685552344,14,,14,8.2693982766609,1.0,-1.65
