,region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,q_mean_mm,q_sd_mm,record_len_years,camels_q_mean_mm,n_years,log_drainage_area_km2,n_complete_years,tmean,replaced_zero_flow_uar_mean,replaced_zero_flow_uar_median,replaced_zero_flow_uar_mad,replaced_zero_flow_uar_std,replaced_zero_flow_uar_skew,replaced_zero_flow_uar_kurt,log_uar_mean,log_uar_median,log_uar_mad,log_uar_std,log_uar_skew,log_uar_kurt
1184,CLR,12433200,468.0,-117.837265072989,47.9983832079646,-1283.06,3.3685,0.64,0.23,0.1,0.01,0.02,0.0,0.0,0.0,0.0,0.65,0.22,0.09,0.01,0.02,0.0,0.0,0.0,0.01,0.62,0.22,0.12,0.02,0.03,0.0,0.0,0.0,-0.01,8.9045782,178.410927720253,746.42621,744.94635,1375.9678,432.37601,744.94635,629.8,1.7,14.2,643.8,45.3,289.9,5.7,0.7,1.0,0.1,0.322479975138588,0.505454757938642,43,,48,6.15060276844628,42.0,7.949999999999999,0.9052393436431885,0.6384082436561584,0.541519284248352,0.7296095490455627,1.7008464336395264,2.7148101329803467,0.9052393436431885,0.6384082436561584,0.541519284248352,0.7296095490455627,1.7008464336395264,2.7148101329803467
1186,CLR,12433561,48.6,-118.074723630567,47.9192540167653,-1340.89,1.84454,0.71,0.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.21,0.07,0.0,0.0,0.0,0.0,0.0,-0.01,0.72,0.21,0.07,0.0,0.0,0.0,0.0,0.0,0.0,11.201757,200.361282054164,753.55194,749.09802,1174.6459,420.18372,749.09802,545.4,1.8,14.2,618.1,39.0,294.5,6.3,0.8,1.0,0.1,0.151183903439042,0.421967457160174,15,,13,3.90399083373088,13.0,8.0,-1.1287336349487305,-0.8063421845436096,1.5486763715744019,2.1222920417785645,-0.7788244485855103,0.7893422245979309,-1.1287336349487305,-0.8063421845436096,1.5486763715744019,2.1222920417785645,-0.7788244485855103,0.7893422245979309
1188,CLR,12434590,2167.5,-118.813076668406,48.4595648398759,-1323.74,4.87592,0.74,0.21,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.72,0.2,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.62,0.21,0.15,0.01,0.0,0.0,0.0,0.0,0.01,14.923539,181.665866847976,1089.8784,1099.6444,2163.2805,423.47916,1099.6444,549.0,0.4,11.8,602.3,56.5,290.4,6.0,0.8,1.0,0.1,0.342104296285218,0.586019918818181,13,,12,7.68179096327542,17.0,6.1000000000000005,0.40012484788894653,0.04839983209967613,1.0225553512573242,1.2098920345306396,0.6373552680015564,-0.5001307129859924,0.40012484788894653,0.04839983209967613,1.0225553512573242,1.2098920345306396,0.6373552680015564,-0.5001307129859924
1190,CLR,12438900,124.8,-119.29079153985,49.0150920889394,-1072.1,0.22893,0.3,0.38,0.21,0.02,0.09,0.01,0.0,0.0,-0.0099999999999997,0.29,0.38,0.21,0.01,0.09,0.01,0.0,0.0,0.01,0.29,0.25,0.38,0.01,0.05,0.02,0.0,0.0,0.0,7.8183188,206.074333751827,1162.0255,1101.3978,1642.8361,328.68555,1101.3978,509.3,0.2,11.3,602.5,60.9,287.9,5.3,0.7,1.0,0.1,0.0362426065431173,0.104304690447539,12,,10,4.83469334426634,10.0,5.75,-0.38090676069259644,-0.8507859706878662,0.9712551236152649,1.1996665000915527,1.1347752809524536,0.716954231262207,-0.38090676069259644,-0.8507859706878662,0.9712551236152649,1.1996665000915527,1.1347752809524536,0.716954231262207
1191,CLR,12439300,156.9,-119.265645104434,48.9236542552367,-1307.64,0.742,0.35,0.24,0.39,0.01,0.0,0.0,0.0,0.0,0.01,0.35,0.24,0.39,0.01,0.01,0.0,0.0,0.0,0.0,0.35,0.24,0.4,0.01,0.01,0.0,0.0,0.0,-0.01,9.7519712,285.276984766976,1108.0095,1066.2634,1554.4083,297.20639,1066.2634,511.9,0.3,11.5,609.2,56.7,283.8,5.4,0.7,1.0,0.1,0.0501730069563161,0.09799244370827,25,,23,5.0619619212616,23.0,5.9,-2.7216084003448486,-1.809563398361206,2.447610855102539,2.886730909347534,-0.5627992153167725,-1.0200294256210327,-2.7216084003448486,-1.809563398361206,2.447610855102539,2.886730909347534,-0.5627992153167725,-1.0200294256210327
1192,CLR,12442000,339.1,-119.849310024879,48.8768398240884,-1404.51,1.27198,0.63,0.15,0.2,0.01,0.0,0.0,0.0,0.0,0.01,0.63,0.29,0.06,0.01,0.0,0.0,0.0,0.0,0.01,0.61,0.27,0.1,0.01,0.01,0.0,0.0,0.0,0.0,15.478287,115.392842521678,1700.3716,1682.4609,2540.2202,552.56024,1682.4609,649.3,-1.3,7.8,559.3,152.0,302.3,6.3,0.8,1.0,0.1,0.330288252971755,0.7024855482769,14,,12,5.82923969201315,12.0,3.25,0.4247854948043823,-0.07783220708370209,0.93643718957901,1.1772925853729248,1.2843531370162964,0.6958838701248169,0.4247854948043823,-0.07783220708370209,0.93643718957901,1.1772925853729248,1.2843531370162964,0.6958838701248169
1193,CLR,12442300,705.2,-119.792205958268,48.8152795374943,-1386.42,1.95661,0.6,0.23,0.14,0.01,0.01,0.0,0.0,0.0,0.01,0.6,0.31,0.06,0.01,0.01,0.0,0.0,0.0,0.01,0.59,0.29,0.1,0.01,0.01,0.0,0.0,0.0,1.11022302462516e-16,17.017939,102.318019240101,1522.2727,1441.5385,2540.2202,360.74158,1441.5385,587.8,-0.4,9.3,573.1,117.0,295.1,6.8,0.8,1.0,0.1,0.196246226687516,0.438886696766997,9,,7,6.55989848349429,7.0,4.45,0.2092503011226654,-0.01787625439465046,0.6786428093910217,0.9768630266189575,1.4928083419799805,2.3117146492004395,0.2092503011226654,-0.01787625439465046,0.6786428093910217,0.9768630266189575,1.4928083419799805,2.3117146492004395
1194,CLR,12444490,283.9,-119.119454408684,48.6817387290871,-1298.94,0.75887,0.55,0.3,0.13,0.01,0.0,0.0,0.0,0.0,0.0099999999999998,0.55,0.31,0.12,0.01,0.0,0.0,0.0,0.0,0.0099999999999998,0.53,0.31,0.14,0.01,0.0,0.0,0.0,0.0,0.0099999999999998,11.211949,78.6090935578866,1194.7017,1193.6257,2209.3943,706.12244,1193.6257,525.3,-0.3,10.8,579.6,65.0,291.0,6.1,0.8,1.0,0.1,0.0430201964979745,0.060788793107745,7,,5,5.65213824150386,5.0,5.25,-1.0060161352157593,-1.1491522789001465,0.6366738677024841,0.8809242844581604,0.1091344952583313,2.9046597480773926,-1.0060161352157593,-1.1491522789001465,0.6366738677024841,0.8809242844581604,0.1091344952583313,2.9046597480773926
1195,CLR,12445900,309.7,-119.225408902636,48.3574537421012,-1265.99,0.75507,0.57,0.18,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.58,0.17,0.23,0.01,0.0,0.0,0.0,0.0,0.01,0.47,0.18,0.35,0.01,0.0,0.0,0.0,0.0,-0.0099999999999997,10.774854,238.976704973705,1010.6616,1036.1819,2029.308,372.09729,1036.1819,491.7,1.0,12.1,586.3,53.8,295.0,7.3,0.8,1.1,0.1,0.184782987792383,0.385747992071704,12,,46,5.738827816399,11.0,6.55,-0.13404978811740875,-0.26625344157218933,0.8653544187545776,1.1896154880523682,-0.07440312951803207,3.3380074501037598,-0.13404978811740875,-0.26625344157218933,0.8653544187545776,1.1896154880523682,-0.07440312951803207,3.3380074501037598
1198,CLR,12447383,950.6,-120.52330556515,48.6972438640382,-1429.7,11.69844,0.54,0.16,0.27,0.01,0.01,0.0,0.0,0.0,0.0099999999999998,0.54,0.22,0.21,0.01,0.01,0.0,0.0,0.0,0.01,0.45,0.2,0.32,0.01,0.01,0.0,0.0,0.0,0.01,27.674194,118.829676332808,1738.8429,1687.7015,2718.8223,622.71063,1687.7015,1091.0,-2.1,7.6,507.7,418.6,323.1,5.1,0.7,1.0,0.1,1.39053683901038,2.60584807162794,28,,27,6.8581447784288,31.0,2.75,-0.14739154279232025,1.0668622255325317,3.2009549140930176,4.275181770324707,-1.2329437732696533,0.3396286964416504,-0.14739154279232025,1.0668622255325317,3.2009549140930176,4.275181770324707,-1.2329437732696533,0.3396286964416504
